#N	EVALS{+}	VIOL	E/I	HV	MTM	iLOC	IM	DIVFS	INTFS	RDC
453	3041{3041}	(0)	6	2178.93(1)	72	1	49	0	1	0
454	3041{3041}	(0)	6	2178.96(1)	72	0	49	0	1	0
454	3042{3042}	(0)	6	2178.96(1)	73	1	50	0	1	0
455	3042{3042}	(0)	6	2209.28(1)	73	0	50	0	1	0
455	3066{3066}	(0)	6	2209.28(1)	74	1	50	0	1	0
456	3066{3066}	(0)	6	2239.63(1)	74	0	50	0	1	0
456	3067{3067}	(0)	6	2239.63(1)	75	1	51	0	1	0
457	3067{3067}	(0)	6	2270(1)	75	0	51	0	1	0
457	3091{3091}	(0)	6	2270(1)	76	1	51	0	1	0
458	3091{3091}	(0)	6	2300.42(1)	76	0	51	0	1	0
458	3120{3120}	(0)	6	2300.42(1)	76	1	79	0	1	0
459	3120{3120}	(0)	6	2300.42(2)	76	1	79	0	1	0
459	3150{3150}	(0)	6	2300.42(2)	76	2	79	0	1	0
460	3150{3150}	(0)	6	2300.42(3)	76	2	79	0	1	0
460	3180{3180}	(0)	6	2300.42(3)	76	3	79	0	1	0
461	3180{3180}	(0)	6	2300.42(4)	76	3	79	0	1	0
461	3208{3208}	(0)	6	2300.42(4)	76	4	79	0	1	0
462	3208{3208}	(0)	6	2300.42(5)	76	4	79	0	1	0
462	3237{3237}	(0)	7	2300.42(5)	76	5	79	0	1	0
463	3237{3237}	(0)	6	2300.42(6)	76	5	79	0	1	0
463	3264{3264}	(0)	7	2300.42(6)	76	6	79	0	1	0
464	3264{3264}	(0)	7	2300.42(7)	76	6	79	0	1	0
464	3294{3294}	(0)	7	2300.42(7)	76	7	79	0	1	0
465	3294{3294}	(0)	7	2300.42(8)	76	7	79	0	1	0
465	3324{3324}	(0)	7	2300.42(8)	76	8	79	0	1	0
466	3324{3324}	(0)	7	2300.42(9)	76	8	79	0	1	0
466	3355{3355}	(0)	7	2300.42(9)	76	9	79	0	1	0
467	3355{3355}	(0)	7	2300.42(10)	76	9	79	0	1	0
467	3384{3384}	(0)	7	2300.42(10)	76	10	79	0	1	0
467	3384{3384}	(0)	7	2300.42(10)	76	11	78	0	2	0
468	3384{3384}	(0)	7	2300.42(11)	76	0	78	0	2	0
468	3399{3399}	(0)	7	2300.42(11)	77	1	78	0	2	0
469	3399{3399}	(0)	7	2330.69(1)	77	0	78	0	2	0
469	3400{3400}	(0)	7	2330.69(1)	78	1	79	0	2	0
470	3400{3400}	(0)	7	2360.99(1)	78	0	79	0	2	0
470	3406{3406}	(0)	7	2360.99(1)	79	1	79	0	2	0
471	3406{3406}	(0)	7	2391.3(1)	79	0	79	0	2	0
471	3407{3407}	(0)	7	2391.3(1)	80	1	80	0	2	0
472	3407{3407}	(0)	7	2421.65(1)	80	0	80	0	2	0
472	3431{3431}	(0)	7	2421.65(1)	81	1	80	0	2	0
473	3431{3431}	(0)	7	2452.03(1)	81	0	80	0	2	0
473	3432{3432}	(0)	7	2452.03(1)	82	1	81	0	2	0
474	3432{3432}	(0)	7	2482.44(1)	82	0	81	0	2	0
474	3444{3444}	(0)	7	2482.44(1)	83	1	81	0	2	0
475	3444{3444}	(0)	7	2512.82(1)	83	0	81	0	2	0
475	3444{3444}	(0)	7	2512.82(1)	83	1	81	0	2	0
476	3444{3444}	(0)	7	2512.82(2)	83	0	81	0	2	0
476	3448{3448}	(0)	7	2512.82(2)	84	1	81	0	2	0
477	3448{3448}	(0)	7	2543.14(1)	84	0	81	0	2	0
477	3448{3448}	(0)	7	2543.14(1)	84	1	81	0	2	0
478	3448{3448}	(0)	7	2543.14(2)	84	0	81	0	2	0
478	3472{3472}	(0)	7	2543.14(2)	84	1	81	0	2	0
479	3472{3472}	(0)	7	2543.14(3)	84	1	81	0	2	0
479	3503{3503}	(0)	7	2543.14(3)	84	2	82	0	2	0
480	3503{3503}	(0)	7	2543.14(4)	84	2	82	0	2	0
480	3534{3534}	(0)	7	2543.14(4)	84	3	82	0	2	0
481	3534{3534}	(0)	7	2543.14(5)	84	3	82	0	2	0
481	3565{3565}	(0)	7	2543.14(5)	84	4	83	0	2	0
482	3565{3565}	(0)	7	2543.14(6)	84	4	83	0	2	0
482	3597{3597}	(0)	7	2543.14(6)	84	5	83	0	2	0
483	3597{3597}	(0)	7	2543.14(7)	84	5	83	0	2	0
483	3630{3630}	(0)	7	2543.14(7)	84	6	85	0	2	0
484	3630{3630}	(0)	7	2543.14(8)	84	6	85	0	2	0
484	3631{3631}	(0)	7	2543.14(8)	84	7	86	0	2	0
485	3631{3631}	(0)	7	2544.63(1)	84	0	86	0	2	0
485	3637{3637}	(0)	7	2544.63(1)	84	1	86	0	2	0
486	3637{3637}	(0)	7	2544.65(1)	84	0	86	0	2	0
486	3655{3655}	(0)	7	2544.65(1)	84	1	103	0	2	0
487	3655{3655}	(0)	7	2544.66(1)	84	0	103	0	2	0
487	3661{3661}	(0)	7	2544.66(1)	85	1	90	0	2	0
488	3661{3661}	(0)	7	2574.9(1)	85	0	90	0	2	0
488	3661{3661}	(0)	7	2574.9(1)	85	1	91	0	2	0
489	3661{3661}	(0)	7	2574.9(2)	85	0	89	0	2	0
489	3685{3685}	(0)	7	2574.9(2)	86	1	89	0	2	0
490	3685{3685}	(0)	7	2605.15(1)	86	0	89	0	2	0
490	3685{3685}	(0)	7	2605.15(1)	86	1	90	0	2	0
491	3685{3685}	(0)	7	2605.15(2)	86	0	86	0	2	0
491	3707{3707}	(0)	7	2605.15(2)	86	1	86	0	2	0
492	3707{3707}	(0)	7	2605.15(3)	86	0	86	0	2	0
492	3707{3707}	(0)	7	2605.15(3)	86	1	87	0	2	0
493	3707{3707}	(0)	7	2605.15(4)	86	0	87	0	2	0
493	3730{3730}	(0)	7	2605.15(4)	86	1	87	0	2	0
494	3730{3730}	(0)	7	2605.15(5)	86	0	87	0	2	0
494	3730{3730}	(0)	7	2605.15(5)	86	1	88	0	2	0
495	3730{3730}	(0)	7	2605.15(6)	86	0	88	0	2	0
495	3753{3753}	(0)	7	2605.15(6)	86	1	88	0	2	0
496	3753{3753}	(0)	7	2605.15(7)	86	0	88	0	2	0
496	3771{3771}	(0)	7	2605.15(7)	86	1	88	0	2	0
497	3771{3771}	(0)	7	2605.15(8)	86	1	88	0	2	0
497	3801{3801}	(0)	7	2605.15(8)	86	2	88	0	2	0
498	3801{3801}	(0)	7	2605.15(9)	86	2	88	0	2	0
498	3831{3831}	(0)	7	2605.15(9)	86	3	88	0	2	0
499	3831{3831}	(0)	7	2605.15(10)	86	3	88	0	2	0
499	3859{3859}	(0)	7	2605.15(10)	86	4	88	0	2	0
500	3859{3859}	(0)	7	2605.15(11)	86	4	88	0	2	0
500	3888{3888}	(0)	7	2605.15(11)	86	5	88	0	2	0
501	3888{3888}	(0)	7	2605.15(12)	86	5	88	0	2	0
501	3915{3915}	(0)	7	2605.15(12)	86	6	88	0	2	0
502	3915{3915}	(0)	7	2605.15(13)	86	6	88	0	2	0
502	3945{3945}	(0)	7	2605.15(13)	86	7	88	0	2	0
503	3945{3945}	(0)	7	2605.15(14)	86	7	88	0	2	0
503	3975{3975}	(0)	7	2605.15(14)	86	8	88	0	2	0
504	3975{3975}	(0)	7	2605.15(15)	86	8	88	0	2	0
504	4005{4005}	(0)	7	2605.15(15)	86	9	88	0	2	0
505	4005{4005}	(0)	7	2605.15(16)	86	9	88	0	2	0
505	4034{4034}	(0)	7	2605.15(16)	86	10	88	0	2	0
505	4034{4034}	(0)	7	2605.15(16)	86	11	87	0	3	0
506	4034{4034}	(0)	7	2605.15(17)	86	0	87	0	3	0
506	4052{4052}	(0)	8	2605.15(17)	86	1	87	0	3	0
507	4052{4052}	(0)	7	2605.15(18)	86	0	87	0	3	0
507	4052{4052}	(0)	7	2605.15(18)	86	1	87	0	3	0
508	4052{4052}	(0)	7	2605.15(19)	86	0	87	0	3	0
508	4052{4052}	(0)	7	2605.15(19)	86	1	87	0	3	0
509	4052{4052}	(0)	7	2605.15(20)	86	0	87	0	3	0
509	4052{4052}	(0)	7	2605.15(20)	86	1	88	0	3	0
510	4052{4052}	(0)	7	2605.15(21)	86	0	88	0	3	0
510	4052{4052}	(0)	7	2605.15(21)	86	1	88	0	3	0
511	4052{4052}	(0)	7	2605.15(22)	86	1	88	0	3	0
511	4082{4082}	(0)	7	2605.15(22)	86	2	88	0	3	0
512	4082{4082}	(0)	7	2605.15(23)	86	2	88	0	3	0
512	4112{4112}	(0)	8	2605.15(23)	86	3	88	0	3	0
513	4112{4112}	(0)	8	2605.15(24)	86	3	88	0	3	0
513	4141{4141}	(0)	8	2605.15(24)	86	4	88	0	3	0
514	4141{4141}	(0)	8	2605.15(25)	86	4	88	0	3	0
514	4170{4170}	(0)	8	2605.15(25)	86	5	88	0	3	0
515	4170{4170}	(0)	8	2605.15(26)	86	5	88	0	3	0
515	4198{4198}	(0)	8	2605.15(26)	86	6	88	0	3	0
516	4198{4198}	(0)	8	2605.15(27)	86	6	88	0	3	0
516	4227{4227}	(0)	8	2605.15(27)	86	7	88	0	3	0
517	4227{4227}	(0)	8	2605.15(28)	86	7	88	0	3	0
517	4257{4257}	(0)	8	2605.15(28)	86	8	88	0	3	0
518	4257{4257}	(0)	8	2605.15(29)	86	8	88	0	3	0
518	4288{4288}	(0)	8	2605.15(29)	86	9	88	0	3	0
519	4288{4288}	(0)	8	2605.15(30)	86	9	88	0	3	0
519	4317{4317}	(0)	8	2605.15(30)	86	10	88	0	3	0
519	4317{4317}	(0)	8	2605.15(30)	86	11	86	0	4	0
520	4317{4317}	(0)	8	2605.15(31)	86	11	86	0	4	0
520	4328{4328}	(0)	8	2605.15(31)	86	12	86	0	4	0
521	4328{4328}	(0)	8	2605.15(32)	86	0	86	0	4	0
521	4328{4328}	(0)	8	2605.15(32)	86	1	86	0	4	0
522	4328{4328}	(0)	8	2605.15(33)	86	0	86	0	4	0
522	4328{4328}	(0)	8	2605.15(33)	86	1	87	0	4	0
523	4328{4328}	(0)	8	2605.15(34)	86	0	87	0	4	0
523	4334{4334}	(0)	8	2605.15(34)	87	1	87	0	4	0
524	4334{4334}	(0)	8	2635.53(1)	87	0	87	0	4	0
524	4334{4334}	(0)	8	2635.53(1)	87	1	88	0	4	0
525	4334{4334}	(0)	8	2635.53(2)	87	0	61	0	4	0
525	4334{4334}	(0)	8	2635.53(2)	87	1	61	0	4	0
526	4334{4334}	(0)	8	2635.53(3)	87	1	61	0	4	0
526	4359{4359}	(0)	8	2635.53(3)	87	2	61	0	4	0
527	4359{4359}	(0)	8	2635.53(4)	87	2	61	0	4	0
527	4389{4389}	(0)	8	2635.53(4)	87	3	61	0	4	0
528	4389{4389}	(0)	8	2635.53(5)	87	3	61	0	4	0
528	4413{4413}	(0)	8	2635.53(5)	87	4	61	0	4	0
529	4413{4413}	(0)	8	2635.53(6)	87	4	61	0	4	0
529	4442{4442}	(0)	8	2635.53(6)	87	5	61	0	4	0
530	4442{4442}	(0)	8	2635.53(7)	87	5	61	0	4	0
530	4466{4466}	(0)	8	2635.53(7)	87	6	61	0	4	0
531	4466{4466}	(0)	8	2635.53(8)	87	6	61	0	4	0
531	4496{4496}	(0)	8	2635.53(8)	87	7	61	0	4	0
532	4496{4496}	(0)	8	2635.53(9)	87	7	61	0	4	0
532	4526{4526}	(0)	8	2635.53(9)	87	8	61	0	4	0
533	4526{4526}	(0)	8	2635.53(10)	87	8	61	0	4	0
533	4557{4557}	(0)	8	2635.53(10)	87	9	61	0	4	0
534	4557{4557}	(0)	8	2635.53(11)	87	9	61	0	4	0
534	4586{4586}	(0)	8	2635.53(11)	87	10	61	0	4	0
534	4586{4586}	(0)	8	2635.53(11)	87	11	60	0	5	0
535	4586{4586}	(0)	8	2635.53(12)	87	0	60	0	5	0
535	4591{4591}	(0)	8	2635.53(12)	87	1	60	0	5	0
536	4591{4591}	(0)	8	2635.53(13)	87	0	60	0	5	0
536	4591{4591}	(0)	8	2635.53(13)	87	1	60	0	5	0
537	4591{4591}	(0)	8	2635.53(14)	87	1	60	0	5	0
537	4621{4621}	(0)	8	2635.53(14)	87	2	60	0	5	0
538	4621{4621}	(0)	8	2635.53(15)	87	2	60	0	5	0
538	4652{4652}	(0)	8	2635.53(15)	87	3	60	0	5	0
539	4652{4652}	(0)	8	2635.53(16)	87	3	60	0	5	0
539	4681{4681}	(0)	8	2635.53(16)	87	4	60	0	5	0
540	4681{4681}	(0)	8	2635.53(17)	87	4	60	0	5	0
540	4711{4711}	(0)	8	2635.53(17)	87	5	60	0	5	0
541	4711{4711}	(0)	8	2635.53(18)	87	5	60	0	5	0
541	4739{4739}	(0)	8	2635.53(18)	87	6	60	0	5	0
542	4739{4739}	(0)	8	2635.53(19)	87	6	60	0	5	0
542	4769{4769}	(0)	8	2635.53(19)	87	7	60	0	5	0
543	4769{4769}	(0)	8	2635.53(20)	87	7	60	0	5	0
543	4800{4800}	(0)	8	2635.53(20)	87	8	60	0	5	0
544	4800{4800}	(0)	8	2635.53(21)	87	8	60	0	5	0
544	4831{4831}	(0)	8	2635.53(21)	87	9	60	0	5	0
545	4831{4831}	(0)	8	2635.53(22)	87	9	60	0	5	0
545	4860{4860}	(0)	8	2635.53(22)	87	10	60	0	5	0
545	4860{4860}	(0)	8	2635.53(22)	87	11	59	0	6	0
546	4860{4860}	(0)	8	2635.53(23)	87	0	59	0	6	0
546	4860{4860}	(0)	8	2635.53(23)	87	1	64	0	6	0
547	4860{4860}	(0)	8	2635.53(24)	87	0	64	0	6	0
547	4860{4860}	(0)	8	2635.53(24)	87	1	64	0	6	0
548	4860{4860}	(0)	8	2635.53(25)	87	0	64	0	6	0
548	4860{4860}	(0)	8	2635.53(25)	87	1	64	0	6	0
549	4860{4860}	(0)	8	2635.53(26)	87	0	64	0	6	0
549	4860{4860}	(0)	8	2635.53(26)	87	1	65	0	6	0
550	4860{4860}	(0)	8	2635.53(27)	87	0	65	0	6	0
550	4860{4860}	(0)	8	2635.53(27)	87	1	65	0	6	0
551	4860{4860}	(0)	8	2635.53(28)	87	0	65	0	6	0
551	4860{4860}	(0)	8	2635.53(28)	87	1	65	0	6	0
552	4860{4860}	(0)	8	2635.53(29)	87	0	65	0	6	0
552	4860{4860}	(0)	8	2635.53(29)	87	1	65	0	6	0
553	4860{4860}	(0)	8	2635.53(30)	87	0	65	0	6	0
553	4860{4860}	(0)	8	2635.53(30)	87	1	66	0	6	0
554	4860{4860}	(0)	8	2635.53(31)	87	0	61	0	6	0
554	4867{4867}	(0)	8	2635.53(31)	88	1	61	0	6	0
555	4867{4867}	(0)	8	2665.8(1)	88	0	61	0	6	0
555	4868{4868}	(0)	8	2665.8(1)	88	1	62	0	6	0
556	4868{4868}	(0)	8	2665.82(1)	88	0	57	0	6	0
556	4874{4874}	(0)	8	2665.82(1)	89	1	57	0	6	0
557	4874{4874}	(0)	8	2696.09(1)	89	0	57	0	6	0
557	4874{4874}	(0)	8	2696.09(1)	89	1	57	0	6	0
558	4874{4874}	(0)	8	2696.09(2)	89	0	57	0	6	0
558	4874{4874}	(0)	8	2696.09(2)	89	1	57	0	6	0
559	4874{4874}	(0)	8	2696.09(3)	89	1	57	0	6	0
559	4905{4905}	(0)	8	2696.09(3)	89	2	58	0	6	0
560	4905{4905}	(0)	8	2696.09(4)	89	2	58	0	6	0
560	4936{4936}	(0)	8	2696.09(4)	89	3	58	0	6	0
561	4936{4936}	(0)	8	2696.09(5)	89	3	58	0	6	0
561	4966{4966}	(0)	8	2696.09(5)	89	4	59	0	6	0
562	4966{4966}	(0)	8	2696.09(6)	89	4	59	0	6	0
562	4996{4996}	(0)	8	2696.09(6)	89	5	59	0	6	0
563	4996{4996}	(0)	8	2696.09(7)	89	5	59	0	6	0
563	5025{5025}	(0)	8	2696.09(7)	89	6	60	0	6	0
564	5025{5025}	(0)	8	2696.09(8)	89	6	60	0	6	0
564	5055{5055}	(0)	8	2696.09(8)	89	7	60	0	6	0
565	5055{5055}	(0)	8	2696.09(9)	89	7	60	0	6	0
565	5083{5083}	(0)	8	2696.09(9)	89	8	61	0	6	0
566	5083{5083}	(0)	8	2696.09(10)	89	8	61	0	6	0
566	5114{5114}	(0)	9	2696.09(10)	89	9	61	0	6	0
567	5114{5114}	(0)	9	2696.09(11)	89	9	61	0	6	0
567	5145{5145}	(0)	9	2696.09(11)	89	10	61	0	6	0
567	5145{5145}	(0)	9	2696.09(11)	89	11	60	0	7	0
568	5145{5145}	(0)	9	2696.09(12)	89	11	60	0	7	0
568	5161{5161}	(0)	9	2696.09(12)	90	12	53	0	7	0
569	5161{5161}	(0)	9	2726.34(1)	90	0	53	0	7	0
569	5162{5162}	(0)	9	2726.34(1)	91	1	54	0	7	0
570	5162{5162}	(0)	9	2756.57(1)	91	0	54	0	7	0
570	5180{5180}	(0)	9	2756.57(1)	90	1	55	0	7	0
571	5180{5180}	(0)	9	2726.34(1)	90	0	55	0	7	0
571	5181{5181}	(0)	9	2726.34(1)	91	1	56	0	7	0
572	5181{5181}	(0)	9	2756.56(1)	91	0	56	0	7	0
572	5187{5187}	(0)	9	2756.56(1)	92	1	56	0	7	0
573	5187{5187}	(0)	9	2786.78(1)	92	0	56	0	7	0
573	5188{5188}	(0)	9	2786.78(1)	93	1	57	0	7	0
574	5188{5188}	(0)	9	2817.01(1)	93	0	57	0	7	0
574	5194{5194}	(0)	9	2817.01(1)	94	1	57	0	7	0
575	5194{5194}	(0)	9	2847.25(1)	94	0	57	0	7	0
575	5200{5200}	(0)	9	2847.25(1)	93	1	62	0	7	0
576	5200{5200}	(0)	9	2817.03(1)	93	0	62	0	7	0
576	5212{5212}	(0)	9	2817.03(1)	93	1	68	0	7	0
577	5212{5212}	(0)	9	2817.04(1)	93	0	68	0	7	0
577	5213{5213}	(0)	9	2817.04(1)	91	1	69	0	7	0
578	5213{5213}	(0)	9	2756.61(1)	91	0	68	0	7	0
578	5225{5225}	(0)	9	2756.61(1)	91	1	68	0	7	0
579	5225{5225}	(0)	9	2756.63(1)	91	0	68	0	7	0
579	5226{5226}	(0)	9	2756.63(1)	91	1	69	0	7	0
580	5226{5226}	(0)	9	2758.12(1)	91	0	68	0	7	0
580	5232{5232}	(0)	9	2758.12(1)	91	1	68	0	7	0
581	5232{5232}	(0)	9	2759.61(1)	91	0	68	0	7	0
581	5233{5233}	(0)	9	2759.61(1)	92	1	69	0	7	0
582	5233{5233}	(0)	8	2789.85(1)	92	0	68	0	7	0
582	5245{5245}	(0)	9	2789.85(1)	93	1	68	0	7	0
583	5245{5245}	(0)	8	2820.1(1)	93	0	68	0	7	0
583	5246{5246}	(0)	8	2820.1(1)	94	1	69	0	7	0
584	5246{5246}	(0)	8	2850.36(1)	94	0	69	0	7	0
584	5252{5252}	(0)	8	2850.36(1)	95	1	69	0	7	0
585	5252{5252}	(0)	8	2880.63(1)	95	0	69	0	7	0
585	5253{5253}	(0)	8	2880.63(1)	96	1	70	0	7	0
586	5253{5253}	(0)	8	2910.93(1)	96	0	70	0	7	0
586	5265{5265}	(0)	8	2910.93(1)	97	1	70	0	7	0
587	5265{5265}	(0)	8	2941.25(1)	97	0	70	0	7	0
587	5266{5266}	(0)	8	2941.25(1)	98	1	71	0	7	0
588	5266{5266}	(0)	8	2971.6(1)	98	0	71	0	7	0
588	5272{5272}	(0)	8	2971.6(1)	99	1	71	0	7	0
589	5272{5272}	(0)	8	3001.98(1)	99	0	71	0	7	0
589	5273{5273}	(0)	8	3001.98(1)	100	1	72	0	7	0
590	5273{5273}	(0)	8	3032.39(1)	100	0	72	0	7	0
590	5303{5303}	(0)	8	3032.39(1)	101	1	72	0	7	0
591	5303{5303}	(0)	8	3062.77(1)	101	0	72	0	7	0
591	5304{5304}	(0)	8	3062.77(1)	102	1	73	0	7	0
592	5304{5304}	(0)	8	3093.12(1)	102	0	73	0	7	0
592	5334{5334}	(0)	9	3093.12(1)	103	1	73	0	7	0
593	5334{5334}	(0)	8	3123.44(1)	103	0	73	0	7	0
593	5335{5335}	(0)	8	3123.44(1)	104	1	74	0	7	0
594	5335{5335}	(0)	8	3153.74(1)	104	0	74	0	7	0
594	5365{5365}	(0)	9	3153.74(1)	105	1	74	0	7	0
595	5365{5365}	(0)	9	3184.02(1)	105	0	74	0	7	0
595	5366{5366}	(0)	9	3184.02(1)	106	1	75	0	7	0
596	5366{5366}	(0)	9	3214.28(1)	106	0	75	0	7	0
596	5396{5396}	(0)	9	3214.28(1)	107	1	75	0	7	0
597	5396{5396}	(0)	9	3244.52(1)	107	0	75	0	7	0
597	5397{5397}	(0)	9	3244.52(1)	108	1	76	0	7	0
598	5397{5397}	(0)	9	3274.76(1)	108	0	76	0	7	0
598	5403{5403}	(0)	9	3274.76(1)	109	1	76	0	7	0
599	5403{5403}	(0)	9	3305.01(1)	109	0	76	0	7	0
599	5403{5403}	(0)	9	3305.01(1)	109	1	76	0	7	0
600	5403{5403}	(0)	9	3305.01(2)	109	0	76	0	7	0
600	5403{5403}	(0)	9	3305.01(2)	109	1	76	0	7	0
601	5403{5403}	(0)	8	3305.01(3)	109	1	76	0	7	0
601	5434{5434}	(0)	9	3305.01(3)	109	2	78	0	7	0
602	5434{5434}	(0)	9	3305.01(4)	109	2	78	0	7	0
602	5466{5466}	(0)	9	3305.01(4)	109	3	78	0	7	0
603	5466{5466}	(0)	9	3305.01(5)	109	3	78	0	7	0
603	5497{5497}	(0)	9	3305.01(5)	109	4	78	0	7	0
604	5497{5497}	(0)	9	3305.01(6)	109	4	78	0	7	0
604	5528{5528}	(0)	9	3305.01(6)	109	5	78	0	7	0
605	5528{5528}	(0)	9	3305.01(7)	109	5	78	0	7	0
605	5561{5561}	(0)	9	3305.01(7)	109	6	78	0	7	0
606	5561{5561}	(0)	9	3305.01(8)	109	6	78	0	7	0
606	5594{5594}	(0)	9	3305.01(8)	109	7	78	0	7	0
607	5594{5594}	(0)	9	3305.01(9)	109	7	78	0	7	0
607	5627{5627}	(0)	9	3305.01(9)	109	8	78	0	7	0
608	5627{5627}	(0)	9	3305.01(10)	109	8	78	0	7	0
608	5659{5659}	(0)	9	3305.01(10)	109	9	78	0	7	0
609	5659{5659}	(0)	9	3305.01(11)	109	9	78	0	7	0
609	5690{5690}	(0)	9	3305.01(11)	109	10	78	0	7	0
609	5690{5690}	(0)	9	3305.01(11)	109	11	77	0	8	0
610	5690{5690}	(0)	9	3305.01(12)	109	0	77	0	8	0
610	5701{5701}	(0)	9	3305.01(12)	109	1	77	0	8	0
611	5701{5701}	(0)	9	3305.01(13)	109	0	77	0	8	0
611	5701{5701}	(0)	9	3305.01(13)	109	1	77	0	8	0
612	5701{5701}	(0)	9	3305.01(14)	109	0	77	0	8	0
612	5701{5701}	(0)	9	3305.01(14)	109	1	78	0	8	0
613	5701{5701}	(0)	9	3305.01(15)	109	0	78	0	8	0
613	5701{5701}	(0)	9	3305.01(15)	109	1	79	0	8	0
614	5701{5701}	(0)	9	3305.01(16)	109	0	79	0	8	0
614	5708{5708}	(0)	9	3305.01(16)	109	1	79	0	8	0
615	5708{5708}	(0)	9	3305.01(17)	109	1	79	0	8	0
615	5738{5738}	(0)	9	3305.01(17)	109	2	79	0	8	0
616	5738{5738}	(0)	9	3305.01(18)	109	2	79	0	8	0
616	5768{5768}	(0)	9	3305.01(18)	109	3	79	0	8	0
617	5768{5768}	(0)	9	3305.01(19)	109	3	79	0	8	0
617	5797{5797}	(0)	9	3305.01(19)	109	4	79	0	8	0
618	5797{5797}	(0)	9	3305.01(20)	109	4	79	0	8	0
618	5826{5826}	(0)	9	3305.01(20)	109	5	79	0	8	0
619	5826{5826}	(0)	9	3305.01(21)	109	5	79	0	8	0
619	5854{5854}	(0)	9	3305.01(21)	109	6	79	0	8	0
620	5854{5854}	(0)	9	3305.01(22)	109	6	79	0	8	0
620	5883{5883}	(0)	9	3305.01(22)	109	7	79	0	8	0
621	5883{5883}	(0)	9	3305.01(23)	109	7	79	0	8	0
621	5913{5913}	(0)	9	3305.01(23)	109	8	79	0	8	0
622	5913{5913}	(0)	9	3305.01(24)	109	8	79	0	8	0
622	5944{5944}	(0)	9	3305.01(24)	109	9	79	0	8	0
623	5944{5944}	(0)	9	3305.01(25)	109	9	79	0	8	0
623	5977{5977}	(0)	9	3305.01(25)	109	10	79	0	8	0
623	5977{5977}	(0)	9	3305.01(25)	109	11	78	0	9	0
624	5977{5977}	(0)	9	3305.01(26)	109	11	78	0	9	0
624	6005{6005}	(0)	9	3305.01(26)	109	12	78	0	9	0
625	6005{6005}	(0)	9	3305.01(27)	109	0	78	0	9	0
625	6020{6020}	(0)	9	3305.01(27)	110	1	93	0	9	0
626	6020{6020}	(0)	9	3335.24(1)	110	0	93	0	9	0
626	6020{6020}	(0)	9	3335.24(1)	110	1	93	0	9	0
627	6020{6020}	(0)	9	3335.24(2)	110	0	93	0	9	0
627	6020{6020}	(0)	9	3335.24(2)	110	1	93	0	9	0
628	6020{6020}	(0)	9	3335.24(3)	110	0	93	0	9	0
628	6020{6020}	(0)	9	3335.24(3)	110	1	93	0	9	0
629	6020{6020}	(0)	9	3335.24(4)	110	0	93	0	9	0
629	6020{6020}	(0)	9	3335.24(4)	110	1	93	0	9	0
630	6020{6020}	(0)	9	3335.24(5)	110	0	93	0	9	0
630	6020{6020}	(0)	9	3335.24(5)	110	1	93	0	9	0
631	6020{6020}	(0)	9	3335.24(6)	110	0	93	0	9	0
631	6021{6021}	(0)	9	3335.24(6)	111	1	94	0	9	0
632	6021{6021}	(0)	9	3365.53(1)	111	0	94	0	9	0
632	6021{6021}	(0)	9	3365.53(1)	111	1	94	0	9	0
633	6021{6021}	(0)	9	3365.53(2)	111	0	94	0	9	0
633	6024{6024}	(0)	9	3365.53(2)	112	1	94	0	9	0
634	6024{6024}	(0)	9	3395.88(1)	112	0	94	0	9	0
634	6024{6024}	(0)	9	3395.88(1)	112	1	95	0	9	0
635	6024{6024}	(0)	9	3395.88(2)	112	0	95	0	9	0
635	6029{6029}	(0)	9	3395.88(2)	112	1	95	0	9	0
636	6029{6029}	(0)	9	3395.88(3)	112	0	95	0	9	0
636	6030{6030}	(0)	9	3395.88(3)	113	1	96	0	9	0
637	6030{6030}	(0)	9	3426.15(1)	113	0	96	0	9	0
637	6036{6036}	(0)	9	3426.15(1)	114	1	96	0	9	0
638	6036{6036}	(0)	9	3456.41(1)	114	0	96	0	9	0
638	6037{6037}	(0)	9	3456.41(1)	115	1	97	0	9	0
639	6037{6037}	(0)	9	3486.65(1)	115	0	97	0	9	0
639	6043{6043}	(0)	9	3486.65(1)	116	1	97	0	9	0
640	6043{6043}	(0)	9	3516.89(1)	116	0	97	0	9	0
640	6044{6044}	(0)	9	3516.89(1)	117	1	98	0	9	0
641	6044{6044}	(0)	9	3547.12(1)	117	0	80	0	9	0
641	6050{6050}	(0)	9	3547.12(1)	118	1	80	0	9	0
642	6050{6050}	(0)	9	3577.35(1)	118	0	80	0	9	0
642	6051{6051}	(0)	9	3577.35(1)	119	1	81	0	9	0
643	6051{6051}	(0)	9	3607.58(1)	119	0	81	0	9	0
643	6057{6057}	(0)	9	3607.58(1)	120	1	81	0	9	0
644	6057{6057}	(0)	9	3637.82(1)	120	0	81	0	9	0
644	6058{6058}	(0)	9	3637.82(1)	121	1	82	0	9	0
645	6058{6058}	(0)	9	3668.07(1)	121	0	81	0	9	0
645	6088{6088}	(0)	9	3668.07(1)	122	1	81	0	9	0
646	6088{6088}	(0)	9	3698.33(1)	122	0	81	0	9	0
646	6089{6089}	(0)	9	3698.33(1)	123	1	82	0	9	0
647	6089{6089}	(0)	9	3728.6(1)	123	0	81	0	9	0
647	6119{6119}	(0)	9	3728.6(1)	124	1	81	0	9	0
648	6119{6119}	(0)	9	3758.9(1)	124	0	81	0	9	0
